Round,Client,GasUsed
1,1,33721
1,2,33721
1,3,33721
1,4,50821
1,5,50821
1,6,50821
2,1,33721
2,2,33721
2,3,33721
2,4,33721
2,5,33721
2,6,33721
3,1,33721
3,2,33721
3,3,33721
3,4,33721
3,5,33721
3,6,33721
4,1,33721
4,2,33721
4,3,33721
4,4,33721
4,5,33721
4,6,33721
5,1,33721
5,2,33721
5,3,33721
5,4,33721
5,5,33721
5,6,33721
6,1,33721
6,2,33721
6,3,33721
6,4,33721
6,5,33721
6,6,33721
7,1,33721
7,2,33721
7,3,33721
7,4,33721
7,5,33721
7,6,33721
8,1,33721
8,2,33721
8,3,33721
8,4,33721
8,5,33721
8,6,33721
9,1,33721
9,2,33721
9,3,33721
9,4,33721
9,5,33721
9,6,33721
10,1,33721
10,2,33721
10,3,33721
10,4,33721
10,5,33721
10,6,33721
11,1,33721
11,2,33721
11,3,33721
11,4,33721
11,5,33721
11,6,33721
12,1,33721
12,2,33721
12,3,33721
12,4,33721
12,5,33721
12,6,33721
13,1,33721
13,2,33721
13,3,33721
13,4,33721
13,5,33721
13,6,33721
14,1,33721
14,2,33721
14,3,33721
14,4,33721
14,5,33721
14,6,33721
15,1,33721
15,2,33721
15,3,33721
15,4,33721
15,5,33721
15,6,33721
